,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
0,70,90,42,81,28,90,97,24,74,62,39,68,55,89,88,7
1,58,40,41,39,97,75,81,40,90,5,92,3,16,62,44,43
2,54,80,79,92,33,31,49,43,98,17,59,49,21,98,15,31
3,75,94,16,24,30,19,44,29,89,96,83,67,68,74,83,76
4,58,7,33,82,19,94,8,18,83,81,50,27,3,39,0,53
5,0,1,76,46,73,14,67,24,98,38,90,70,0,27,12,72
6,40,18,24,20,55,44,24,52,56,66,10,2,22,46,32,28
7,54,14,91,22,10,34,36,21,80,11,59,90,98,1,28,93
8,28,57,41,77,3,73,52,75,71,91,47,18,39,21,4,71
9,11,95,94,93,64,43,1,37,87,26,69,77,64,34,6,34
10,82,9,37,51,37,65,20,38,2,70,79,41,38,30,5,76
11,57,51,75,82,99,1,94,76,17,70,94,89,62,10,27,47
12,73,3,19,78,38,40,99,40,70,5,53,68,32,98,26,85
13,73,28,1,36,97,94,88,31,66,10,61,64,79,57,27,22
14,75,17,89,8,22,16,53,71,41,57,37,41,90,67,0,42
15,36,47,90,37,35,73,83,91,20,79,57,32,91,89,21,53
16,64,60,39,76,55,39,6,23,15,42,24,45,25,78,45,15
17,58,36,73,79,24,26,19,49,16,92,37,49,84,55,85,18
18,74,42,40,6,16,23,98,45,4,19,63,49,33,83,75,28
19,68,97,83,88,29,41,15,73,87,22,43,91,80,10,95,83
20,21,79,93,48,33,82,77,7,29,24,64,21,15,23,11,40
21,72,28,83,5,1,44,94,15,39,5,25,95,43,78,39,20
22,58,92,52,50,34,29,13,99,36,38,84,59,54,30,44,57
23,64,47,5,35,7,55,5,93,16,7,37,12,85,98,18,56
24,61,45,78,2,4,78,1,3,52,85,81,59,36,98,43,39
25,89,69,16,28,52,20,34,89,61,0,37,99,63,13,46,92
26,3,59,47,1,5,44,64,44,68,4,44,59,72,77,36,58
27,42,34,66,36,7,73,95,57,12,58,8,39,72,30,52,8
28,54,90,86,39,8,66,53,4,73,22,72,97,32,90,4,74
29,56,65,58,26,92,98,36,50,84,92,8,6,3,38,93,94
30,82,15,37,43,1,69,11,23,45,30,44,60,22,92,55,32
31,27,59,51,77,55,84,73,30,27,92,21,52,45,47,44,10
32,68,41,67,24,16,78,52,42,59,15,33,66,89,88,27,5
33,57,60,39,61,57,99,29,24,67,49,94,71,1,76,77,5
34,3,5,78,17,90,52,95,97,52,36,9,0,11,40,82,95
35,11,25,90,67,1,20,70,23,91,31,8,48,38,87,86,29
36,30,13,50,56,13,71,98,61,98,54,90,59,51,33,70,40
37,22,27,77,95,56,43,3,92,11,17,26,65,13,8,84,71
38,37,15,64,35,23,39,21,16,99,5,72,92,86,50,29,99
39,78,47,91,28,8,26,91,71,92,0,45,62,64,43,27,52
40,41,9,32,43,72,41,46,35,31,83,56,55,94,0,96,50
41,68,88,1,89,53,32,75,11,67,23,84,69,92,66,49,64
42,41,78,65,57,18,53,74,81,99,32,88,31,23,34,12,32
43,13,65,37,14,45,56,74,99,45,71,82,46,97,81,75,54
44,21,61,87,80,92,65,37,99,22,81,41,96,41,81,35,21
45,65,73,76,95,94,60,7,34,59,48,63,30,61,31,17,5
46,4,30,81,43,88,4,30,5,43,58,85,94,0,16,35,73
47,37,0,47,13,64,96,82,81,61,54,78,85,82,9,33,91
48,91,70,42,74,57,27,19,24,83,15,40,88,32,27,81,61
49,79,56,10,18,36,33,39,63,42,7,44,48,87,95,8,37
50,70,50,90,56,20,83,75,27,35,85,79,80,39,20,73,47
51,91,3,8,10,55,11,9,63,41,6,91,47,33,66,6,61
52,21,66,89,91,7,40,64,34,97,21,50,91,27,9,17,63
53,63,85,11,85,48,70,79,43,31,75,89,78,91,8,55,81
54,31,96,4,11,36,19,90,80,63,94,84,9,87,0,47,32
55,66,71,44,79,79,74,63,23,11,24,42,30,97,87,1,79
56,8,9,49,14,39,56,73,71,41,66,93,71,28,91,63,97
57,59,15,86,43,48,97,87,29,82,85,50,79,74,76,59,91
58,98,98,71,34,77,5,30,54,61,45,44,50,39,65,83,21
59,61,90,28,66,28,99,6,40,20,24,36,40,11,15,85,95
60,65,91,17,8,35,78,17,36,25,71,36,71,71,58,90,59
61,48,32,18,73,5,47,83,54,65,59,46,48,59,77,43,66
62,38,25,79,32,96,29,1,38,4,97,68,28,77,74,82,19
63,12,53,71,18,92,96,74,29,72,33,40,83,10,51,28,44
64,96,64,93,91,38,80,66,21,85,87,87,86,28,25,45,98
65,48,13,31,47,9,76,64,16,68,89,7,54,64,83,80,44
66,81,20,52,26,94,98,15,90,64,49,40,64,20,0,7,99
67,72,70,20,78,9,35,1,61,98,19,93,33,58,25,32,47
68,72,41,96,97,80,11,61,38,65,55,53,44,45,95,81,90
69,52,74,29,63,17,42,89,22,60,22,35,0,13,61,38,64
70,93,48,35,23,71,82,2,0,73,28,90,85,47,6,56,73
71,18,93,52,36,87,50,63,3,46,76,82,18,97,95,53,31
72,37,69,85,45,57,95,23,16,30,33,57,17,78,43,41,4
73,71,69,91,2,98,89,73,23,42,62,45,36,15,92,74,46
74,54,85,29,16,41,85,52,30,41,65,0,1,71,40,41,3
75,6,89,78,41,89,42,88,50,18,69,88,38,92,67,39,55
76,48,57,50,68,80,1,66,24,77,20,36,68,39,85,5,63
77,94,82,73,47,1,64,73,6,66,15,79,97,68,73,32,28
78,76,38,77,5,70,85,60,4,44,98,24,5,44,25,75,69
79,78,33,61,65,74,32,64,43,97,40,30,91,18,48,9,12
80,70,75,96,30,14,62,25,19,11,91,59,60,21,29,89,81
81,64,46,82,32,60,3,54,56,80,56,28,67,41,46,83,36
82,47,18,20,45,42,10,11,80,36,7,85,65,63,79,59,76
83,48,0,32,37,30,29,31,38,25,3,84,34,57,77,46,36
84,89,81,34,67,12,91,8,63,63,78,81,46,55,7,95,79
85,45,44,62,46,78,44,80,16,81,69,46,76,93,92,50,59
86,14,48,7,38,86,28,93,91,49,95,52,49,71,38,52,57
87,92,24,87,31,72,86,31,13,32,98,96,51,10,56,41,34
88,99,14,25,50,5,7,50,59,64,23,90,93,43,14,45,54
89,25,95,14,18,83,33,12,15,46,22,59,20,63,87,77,20
90,50,62,23,71,28,80,2,90,86,88,97,67,21,58,92,26
91,26,0,17,37,67,40,37,71,97,3,47,75,4,46,43,15
92,55,55,4,17,71,79,3,35,20,24,59,57,99,38,25,72
93,29,15,80,49,96,3,67,89,83,40,50,57,44,45,83,0
94,59,60,1,85,13,61,2,57,78,64,91,75,91,46,48,4
95,46,26,76,95,39,79,41,96,54,84,84,48,87,58,31,44
96,36,34,55,45,3,74,61,6,3,55,77,73,56,67,52,63
97,6,33,17,99,67,63,39,67,15,72,13,72,0,51,60,11
98,94,94,52,8,45,75,95,75,74,6,69,67,6,34,6,99
99,57,94,75,46,99,51,99,61,82,33,84,60,14,80,3,13
100,86,6,90,2,72,60,83,53,42,14,47,12,62,58,98,25
